date,hour,day_type,month,load_weight
01/01/2025,1,WT,1,9.26189219037832e-05
01/01/2025,2,WT,1,7.961642453886434e-05
01/01/2025,3,WT,1,7.537753800231213e-05
01/01/2025,4,WT,1,7.471349570624445e-05
01/01/2025,5,WT,1,7.798627559400651e-05
01/01/2025,6,WT,1,8.875699170823183e-05
01/01/2025,7,WT,1,0.00011479568783279475
01/01/2025,8,WT,1,0.00012480874666560452
01/01/2025,9,WT,1,0.00011733827083484332
01/01/2025,10,WT,1,0.00011331157826507963
01/01/2025,11,WT,1,0.0001143750444986316
01/01/2025,12,WT,1,0.00012544158396655624
01/01/2025,13,WT,1,0.00013102478169270404
01/01/2025,14,WT,1,0.00012988642347087377
01/01/2025,15,WT,1,0.00012683831954794664
01/01/2025,16,WT,1,0.00013103976009035972
01/01/2025,17,WT,1,0.00014969410617068153
01/01/2025,18,WT,1,0.00018701652852917623
01/01/2025,19,WT,1,0.00020787519546448962
01/01/2025,20,WT,1,0.00020581441758703146
01/01/2025,21,WT,1,0.00018780539080570774
01/01/2025,22,WT,1,0.00016766943155728005
01/01/2025,23,WT,1,0.00014826866199378443
01/01/2025,24,WT,1,0.00011903082976993307
02/01/2025,1,WT,1,9.275998218087705e-05
02/01/2025,2,WT,1,7.973768177956448e-05
02/01/2025,3,WT,1,7.549233934288814e-05
02/01/2025,4,WT,1,7.48272856985089e-05
02/01/2025,5,WT,1,7.810505008866363e-05
02/01/2025,6,WT,1,8.88921701964611e-05
02/01/2025,7,WT,1,0.00011497052372163934
02/01/2025,8,WT,1,0.00012499883262241014
02/01/2025,9,WT,1,0.00011751697912314396
02/01/2025,10,WT,1,0.00011348415382846849
02/01/2025,11,WT,1,0.00011454923974014351
02/01/2025,12,WT,1,0.0001256326337459069
02/01/2025,13,WT,1,0.00013122433478220054
02/01/2025,14,WT,1,0.00013008424282040762
02/01/2025,15,WT,1,0.0001270314965806068
02/01/2025,16,WT,1,0.00013123933599222418
02/01/2025,17,WT,1,0.00014992209297577184
02/01/2025,18,WT,1,0.00018730135805205566
02/01/2025,19,WT,1,0.0002081917931107419
02/01/2025,20,WT,1,0.00020612787663166273
02/01/2025,21,WT,1,0.00018809142177996475
02/01/2025,22,WT,1,0.0001679247951049168
